symbol,n_bars_test,f1_test,precision_test,recall_test,auc_test,target_rate_test,trades_full,pf_full,win_rate_full,calmar_full,total_return_full,max_drawdown_full
PIKK,49,0.912280701754386,0.8666666666666667,0.9629629629629629,0.5,0.5510204081632653,11,0.4826179711123838,0.4,-0.8732599539607393,-0.043563466783542726,-0.04988602372747908
PLZL,49,0.878048780487805,0.782608695652174,1.0,0.2903225806451613,0.3673469387755102,13,0.48171133876274785,0.3076923076923077,-0.7199118815543868,-0.035075630520250645,-0.04872211644085889
MTSS,49,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.3942652329749104,0.6326530612244898,3,0.0,0.0,-1.0,-0.027552006332519197,-0.027552006332519197
GAZP,49,0.8421052631578947,0.8571428571428571,0.8275862068965517,0.4982758620689655,0.5918367346938775,3,0.0,0.0,-1.0,-0.02122795746717987,-0.02122795746717987
YNDX,49,0.8260869565217391,0.8636363636363636,0.7916666666666666,0.29833333333333334,0.4897959183673469,11,0.27517215625763075,0.4,-0.8489602367150768,-0.07333726088220704,-0.08638480073692789
MGNT,85,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.15918803418803418,0.15294117647058825,17,0.5170341048571924,0.5882352941176471,-0.783951949139725,-0.05483316236499369,-0.06994454497519298
GMKN,62,0.6666666666666666,0.5,1.0,0.05,0.03225806451612903,5,0.2947888552589741,0.2,-0.6633382402462442,-0.019080480373702913,-0.028764330496942048
SNGS,49,0.6363636363636365,0.7,0.5833333333333334,0.28603603603603606,0.24489795918367346,13,0.6196895361356566,0.38461538461538464,-0.6451761696514098,-0.04032024381489485,-0.06249493659488381
LKOH,49,0.5517241379310345,0.8,0.42105263157894735,0.6877192982456141,0.3877551020408163,5,0.14665399318662078,0.2,-0.8496292923614992,-0.052850368420682026,-0.06220403285977494
ROSN,49,0.5333333333333333,0.4444444444444444,0.6666666666666666,0.29069767441860467,0.12244897959183673,10,0.8251240924203286,0.3,-0.1440966502215336,-0.005154870516714483,-0.035773701253911216
NVTK,87,0.5,0.5,0.5,0.13786008230452676,0.06896551724137931,14,0.9105877197595863,0.5714285714285714,-0.2701858416560084,-0.009201549680907473,-0.03405637254901972
TATN,95,0.5,1.0,0.3333333333333333,0.04868913857677903,0.06315789473684211,5,0.14985771642326057,0.2,-0.81544518700187,-0.056563156981546125,-0.06936475667912234
VKCO,87,0.5,0.625,0.4166666666666667,0.16333333333333333,0.13793103448275862,5,0.0941740454202316,0.2,-0.5480094324316469,-0.008984296267845693,-0.016394419030308027
OZON,96,0.4666666666666667,0.5384615384615384,0.4117647058823529,0.08190618019359643,0.17708333333333334,6,1.7937391002149845,0.5,0.47535005999129076,0.01021128716215669,-0.021481615385393615
CHMF,89,0.30769230769230765,0.36363636363636365,0.26666666666666666,0.12612612612612611,0.16853932584269662,3,0.0,0.0,-1.0,-0.01643716010245766,-0.01643716010245766
NLMK,64,0.0,0.0,0.0,,0.0,20,1.212527145868319,0.4,0.9021616535247136,0.020723301622262102,-0.02297071876342438
SBER,88,0.0,0.0,0.0,,0.0,3,0.0,0.0,-1.0,-0.03570008359798105,-0.03570008359798105
