symbol,entry_dt,exit_dt,direction,begin,v3_signal,v3_L,v3_U,v3_M,v3_segment_quality,v3_breakout,ma_close,std_close,band_lower,band_upper,dist_from_ma,band_pos,ret_1,ret_3,ret_6,ret_mean_20,ret_vol_20,atr_14,atr_14_pct,bar_range,bar_range_pct,bar_body,bar_body_pct,hour,day_of_week,z_ma,band_width_pct,edge_proximity,range_vs_atr,body_vs_range,pnl_rel,pnl_abs,bars_in_trade,max_adverse_excursion
SBER,2022-01-05 11:00:00,2022-01-10 06:00:00+00:00,1,2022-01-05 11:00:00+00:00,1.0,300.5525,306.593,303.57275000000004,ROLLING,False,303.59605484876676,1.930311316521833,300.700587873984,306.49152182354953,-0.005026596440875855,0.23647517618790165,-0.004875638280349315,0.00036428666048493596,,-0.001055809786877071,0.004201844764627295,,,2.5500000000000114,0.008441751911808558,1.5199999999999818,0.00503194623762698,11,2,-0.0026040340735986153,0.019074470359801775,0.23647517618790165,,0.5960784313725394,-0.0151786009865263,-15178.600986526328,115,
SBER,2022-01-12 07:00:00,2022-01-14 07:00:00+00:00,1,2022-01-12 07:00:00+00:00,1.0,289.76,295.192,292.476,ROLLING,False,291.62396404707226,1.2887555365437202,289.6908307422567,293.5570973518878,-0.001865292685564331,0.35930508627697044,-0.005942217061676192,,,-0.0007544739428702763,0.00317945016176005,,,2.2700000000000387,0.007798543355778613,1.420000000000016,0.004878383949429765,7,2,-0.0014473595904517396,0.013257712281172616,0.35930508627697044,,0.625550660792948,-0.0354713480830012,-34932.94264399518,48,
SBER,2022-06-10 18:00:00,2022-06-14 09:00:00+00:00,1,2022-06-10 18:00:00+00:00,1.0,117.8075,120.1445,118.976,ROLLING,False,118.45320597964952,0.6763533123705167,117.43867601109375,119.4677359482053,-0.0032350832253148724,0.31114112370921876,-0.0010153143243929463,-0.0007616790792146499,-0.0019442096365173134,-0.001064244520096197,0.00366703209879091,,,0.21999999999999886,0.001863301431354272,0.12000000000000455,0.001016346235284192,18,4,-0.004783126165193739,0.01712963292407764,0.31114112370921876,,0.545454545454569,-0.0002371474548995,-225.2636298665208,87,
GAZP,2022-01-05 07:00:00,2022-01-10 06:00:00+00:00,1,2022-01-05 07:00:00+00:00,1.0,348.814,354.722,351.76800000000003,ROLLING,False,352.3382498913369,1.9574097988463273,349.4021351930674,355.27436458960636,-0.005784923697513633,0.15290015874751028,-0.004546746234725729,,,-0.00015283896157037292,0.004129912538779503,,,2.509999999999991,0.007165286896945449,1.599999999999966,0.004567513559805783,7,2,-0.0029553973321903232,0.016666454460592867,0.15290015874751028,,0.6374501992031759,-0.0034770196974022,-3477.0196974022447,119,
GAZP,2022-01-12 11:00:00,2022-01-14 11:00:00+00:00,1,2022-01-12 11:00:00+00:00,1.0,341.066,346.769,343.9175,ROLLING,False,343.15234370928874,1.5865782148816001,340.77247638696633,345.53221103161115,-0.0017844660557163128,0.37134919170805647,0.005253118121790301,0.0020184291355858086,,-0.00026282692157659213,0.0036757279286915487,,,2.680000000000007,0.007823903777661022,1.7700000000000387,0.005167279733753835,11,2,-0.0011247261805176622,0.013870616744722475,0.37134919170805647,,0.6604477611940426,-0.0141005430022771,-14051.51513651419,48,
GAZP,2022-02-01 10:00:00,2022-02-03 10:00:00+00:00,1,2022-02-01 10:00:00+00:00,1.0,331.17,335.6465,333.40825,ROLLING,False,333.0619531982904,3.253998270366706,328.18095579274035,337.9429506038404,-0.0057405331948921605,0.3041431863786302,-0.009807732559878102,-0.01211181050684651,,-9.371942577530157e-05,0.004261520382315688,,,7.349999999999966,0.022195379737279076,3.2200000000000273,0.009723690170617628,10,1,-0.0017641475864230366,0.02930984676381876,0.3041431863786302,,0.43809523809524387,-0.0072293522572851,-7102.6323044166575,48,
LKOH,2022-01-04 10:00:00,2022-01-06 10:00:00+00:00,1,2022-01-04 10:00:00+00:00,1.0,6620.0,6688.425,6654.2125,ROLLING,False,6654.38423033998,27.487409539653562,6613.153116030499,6695.61534464946,-0.0010345405527669646,0.41651656212457977,-0.002475990396158423,-0.001951805420013497,,0.00022249357780877445,0.0027037034228284077,,,32.0,0.004813839789394509,16.5,0.002482136141406544,10,1,-3.7636887945898575e-05,0.012392165189828165,0.41651656212457977,,0.515625,-0.0051598345242572,-5159.83452425724,48,
LKOH,2022-02-03 10:00:00,2022-02-07 06:00:00+00:00,1,2022-02-03 10:00:00+00:00,1.0,6920.275,7029.9,6975.0875,ROLLING,False,6991.992902672431,40.38127001074129,6931.42099765632,7052.564807688543,-0.006291897501156868,0.13685389570684972,-0.0031563845050215367,-0.008207836699735904,,-9.405474573898065e-06,0.002271199908946534,,,50.0,0.007196315486470927,20.5,0.00295048934945308,10,3,-0.00015581227384585088,0.017326077374294847,0.13685389570684972,,0.41,0.0099740932642487,9922.628593475672,92,
LKOH,2022-02-08 12:00:00,2022-02-10 12:00:00+00:00,1,2022-02-08 12:00:00+00:00,1.0,6922.7,7044.85,6983.775,ROLLING,False,6975.847378070249,34.99959438473064,6923.347986493153,7028.346769647344,0.0038207002655388012,0.7538374362930631,0.006106321839080442,0.0003571428571429447,,0.00018953435616220204,0.0053335485336892165,,,68.5,0.009782220635487325,40.0,0.005712245626561942,12,1,0.0001091641298336208,0.015051760375989955,0.2461625637069369,,0.5839416058394161,-0.0055480185647982,-5574.442634714622,48,
LKOH,2022-02-11 09:00:00,2022-02-14 06:00:00+00:00,1,2022-02-11 09:00:00+00:00,1.0,6924.55,7025.35,6974.950000000001,ROLLING,False,6981.573736956684,39.57082154108238,6922.21750464506,7040.929969268308,-0.005883163095343664,0.15400653514323104,-0.002730081183993094,-0.0028017241379310054,,-3.082982335727569e-05,0.003417516123893714,,,44.5,0.006411641812549528,19.0,0.002737554931200922,9,4,-0.00014867427225982081,0.01700368270764628,0.15400653514323104,,0.4269662921348315,-0.0258698940998487,-25848.896837413035,69,
