symbol,n_bars,f1,precision,recall,auc,target_rate,trades,pf,win_rate,calmar,total_return,max_drawdown
LKOH,49,0.8955223880597014,0.8571428571428571,0.9375,0.3088235294117647,0.6530612244897959,1,0.0,0.0,0.0,0.0,0.0
SBER,49,0.888888888888889,0.8484848484848485,0.9333333333333333,0.22280701754385965,0.6122448979591837,1,0.0,0.0,0.0,0.0,0.0
PIKK,49,0.8679245283018868,0.8518518518518519,0.8846153846153846,0.18227424749163879,0.5306122448979592,1,0.0,0.0,0.0,0.0,0.0
NLMK,49,0.8571428571428572,0.7894736842105263,0.9375,0.11553030303030302,0.32653061224489793,1,0.0,0.0,0.0,0.0,0.0
NVTK,135,0.8333333333333334,0.9375,0.75,0.02217391304347826,0.14814814814814814,1,0.0,0.0,0.0,0.0,0.0
OZON,49,0.7931034482758621,0.8846153846153846,0.71875,0.35661764705882354,0.6530612244897959,1,0.0,0.0,0.0,0.0,0.0
MTSS,49,0.7924528301886793,0.9130434782608695,0.7,0.8368421052631579,0.6122448979591837,1,0.0,0.0,0.0,0.0,0.0
GAZP,49,0.7741935483870969,0.8,0.75,0.3352272727272727,0.32653061224489793,1,0.0,0.0,0.0,0.0,0.0
GMKN,49,0.7719298245614035,0.6666666666666666,0.9166666666666666,0.27666666666666667,0.4897959183673469,1,0.0,0.0,0.0,0.0,0.0
MGNT,49,0.7647058823529411,0.7222222222222222,0.8125,0.6647727272727273,0.32653061224489793,1,0.0,0.0,0.0,0.0,0.0
YNDX,49,0.7037037037037037,0.5428571428571428,1.0,0.14736842105263157,0.3877551020408163,1,0.0,0.0,0.0,0.0,0.0
SNGS,49,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.4816053511705686,0.5306122448979592,1,0.0,0.0,0.0,0.0,0.0
TATN,49,0.6153846153846153,0.47058823529411764,0.8888888888888888,0.2956989247311828,0.3673469387755102,1,0.0,0.0,0.0,0.0,0.0
PLZL,49,0.358974358974359,0.875,0.22580645161290322,0.7258064516129032,0.6326530612244898,1,0.0,0.0,0.0,0.0,0.0
VKCO,144,0.3157894736842105,0.375,0.2727272727272727,0.016404647983595352,0.0763888888888889,1,0.0,0.0,0.0,0.0,0.0
ROSN,141,0.18181818181818182,0.125,0.3333333333333333,0.014492753623188406,0.02127659574468085,1,0.0,0.0,0.0,0.0,0.0
CHMF,128,0.0,0.0,0.0,,0.0,1,0.0,0.0,0.0,0.0,0.0
