name,n,n_valid,missing_rate,unique,mean,std,auc,auc_abs,corr
body_vs_range,72,72,0.0,71,0.4476641135729518,0.22460741584601054,0.3734375,0.6265625,-0.20487978938929072
range_vs_atr,72,22,0.6944444444444444,22,1.1664089464146343,0.7252104135228147,0.625,0.625,0.21924636811894635
bar_body_pct,72,72,0.0,72,0.0033166585915253614,0.0027726518295488785,0.378125,0.621875,-0.23264381345675933
bar_range_pct,72,72,0.0,72,0.007120145038336846,0.0048592040017374945,0.3875,0.6125,-0.19450015710196555
bar_body,72,72,0.0,70,3.1563888888888845,6.621632751309143,0.39609375,0.60390625,-0.07654805852822762
ret_1,72,72,0.0,72,-0.0015947529549633795,0.004049586258120378,0.5875,0.5875,0.15520393334653856
dist_from_ma,72,72,0.0,72,-0.0030551975624424216,0.0025549419519477748,0.56953125,0.56953125,0.13587626228605265
atr_14_pct,72,22,0.6944444444444444,22,0.004984349541974855,0.0011809390057389373,0.5666666666666667,0.5666666666666667,0.07143313613046537
bar_range,72,72,0.0,69,7.672499999999999,13.915594744147063,0.437890625,0.562109375,-0.04659949685209686
band_width_pct,72,72,0.0,72,0.016143505565775724,0.00746778802186951,0.4453125,0.5546875,-0.11530529225366552
edge_proximity,72,72,0.0,72,0.27960177071962483,0.13215803730978193,0.5515625,0.5515625,0.11470505671332369
band_pos,72,72,0.0,72,0.3038005696047736,0.16597261764546348,0.54765625,0.54765625,0.08805501751878506
ret_3,72,59,0.18055555555555558,59,-0.0028389363282993593,0.0050026059939697045,0.5449308755760369,0.5449308755760369,0.11333905646198503
atr_14,72,22,0.6944444444444444,22,9.129642857142862,14.14514899400554,0.5416666666666666,0.5416666666666666,0.14722498933003958
std_close,72,72,0.0,72,5.522973467479186,9.876170802225452,0.46328125,0.53671875,-0.00682244485173015
ret_mean_20,72,72,0.0,72,-0.00020016202727332394,0.00037779216080778083,0.47109375,0.52890625,-0.04850370121067767
ma_close,72,72,0.0,72,1329.4563451782242,2360.4244980071244,0.48984375,0.51015625,0.004652177164747146
band_upper,72,72,0.0,72,1337.740805379443,2373.756305887362,0.48984375,0.51015625,0.004583471132140778
v3_U,72,72,0.0,72,1337.8134444444445,2374.572172935331,0.49140625,0.50859375,0.005107890815457604
v3_L,72,72,0.0,72,1320.9771527777777,2345.154341402283,0.4921875,0.5078125,0.004853975647931051
v3_M,72,72,0.0,72,1329.395298611111,2359.8579624973113,0.4921875,0.5078125,0.004981735729489036
band_lower,72,72,0.0,72,1321.1718849770052,2347.110467408398,0.4921875,0.5078125,0.004721627954282759
ret_6,72,48,0.33333333333333337,48,-0.00419361106037765,0.005186725910662139,0.493006993006993,0.506993006993007,0.06449773434187715
ret_vol_20,72,72,0.0,72,0.0031619597827856846,0.0012038991487668053,0.50546875,0.50546875,-0.03993129626899228
z_ma,72,72,0.0,72,-0.0016716361383290702,0.0017134731208316794,0.50390625,0.50390625,-0.007816277423704244
direction,72,72,0.0,1,1.0,0.0,0.5,0.5,
v3_signal,72,72,0.0,1,1.0,0.0,0.5,0.5,
