symbol,trades,pf,win_rate,calmar,total_return,max_drawdown
ALL,223,0.5397230104454185,0.4618834080717489,-0.9998725044022585,-0.7815533954714327,-0.7816530527946252
CHMF,23,1.3353154638708815,0.5217391304347826,1.2697150287779342,0.03943796100948971,-0.031060482167756698
GAZP,34,0.40169672741649093,0.5,-0.9833385571436808,-0.22696430381399435,-0.23080993027799213
GMKN,10,0.39165981004008193,0.4,-0.7645817039092044,-0.026600126180452044,-0.03479042991017067
LKOH,11,0.6226105419821271,0.45454545454545453,-1.0,-0.023247486184883037,-0.023247486184883037
MGNT,13,0.6033199804961181,0.5384615384615384,-0.7806231857500301,-0.05223093894899311,-0.0669092846618553
MTSS,7,0.2511806182856799,0.2857142857142857,-0.829026570332832,-0.02342168843027992,-0.02825203590383929
NLMK,21,0.7876804894223647,0.42857142857142855,-0.48071202694297327,-0.01824816736760404,-0.03796070483955005
NVTK,11,0.3875422802856397,0.45454545454545453,-1.0,-0.07299830723231737,-0.07299830723231737
OZON,4,0.012439549353243425,0.25,-1.0,-0.11137360952780384,-0.11137360952780384
PIKK,37,1.4352257017140493,0.5945945945945946,1.8582372540627825,0.08888988952725052,-0.047835597598156476
PLZL,3,0.0,0.0,-1.0,-0.02659205304786405,-0.02659205304786405
ROSN,12,0.5638324895690295,0.4166666666666667,-1.0,-0.054335990159899095,-0.054335990159899095
SBER,5,0.010565933251336519,0.2,-0.9743528821877937,-0.017036447585191294,-0.017484884477313778
SNGS,15,0.5959574840089776,0.5333333333333333,-0.9144542529160314,-0.05694309411427578,-0.062270030384455444
TATN,8,0.7198974513033798,0.375,-0.3555300661472252,-0.009415168288376186,-0.02648205928237124
VKCO,6,0.02462951677573759,0.3333333333333333,-1.0,-0.14126652883835966,-0.14126652883835966
YNDX,3,0.0,0.0,-1.0,-0.040665743518647046,-0.040665743518647046
