begin,open,high,low,close,volume,v3_signal,v3_L,v3_U,v3_M,v3_segment_quality,v3_breakout
2022-01-03 06:30:00+00:00,345.0,345.0,345.0,345.0,60380,0.0,,,,,False
2022-01-03 07:00:00+00:00,345.01,346.5,344.3,345.47,1797750,0.0,,,,,False
2022-01-03 07:30:00+00:00,345.39,345.5,344.61,345.38,490900,0.0,,,,,False
2022-01-03 08:00:00+00:00,345.38,345.65,345.03,345.6,391730,0.0,,,,,False
2022-01-03 08:30:00+00:00,345.6,347.81,345.5,346.82,1297570,0.0,,,,,False
2022-01-03 09:00:00+00:00,346.8,347.37,346.3,347.37,862100,0.0,,,,,False
2022-01-03 09:30:00+00:00,347.38,347.38,346.5,346.62,504810,0.0,,,,,False
2022-01-03 10:00:00+00:00,346.62,349.3,346.4,348.68,3057520,0.0,,,,,False
2022-01-03 10:30:00+00:00,348.8,351.88,348.7,350.33,5402350,0.0,,,,,False
2022-01-03 11:00:00+00:00,350.24,352.33,350.0,351.48,3430610,0.0,,,,,False
2022-01-03 11:30:00+00:00,351.59,351.83,349.69,350.23,2614750,0.0,,,,,False
2022-01-03 12:00:00+00:00,350.27,350.98,350.04,350.68,1409200,0.0,,,,,False
2022-01-03 12:30:00+00:00,350.68,351.72,350.66,351.6,1101640,0.0,,,,,False
2022-01-03 13:00:00+00:00,351.6,352.25,350.7,351.84,1837590,0.0,,,,,False
2022-01-03 13:30:00+00:00,351.81,351.81,350.97,351.35,647300,0.0,,,,,False
2022-01-03 14:00:00+00:00,351.35,351.8,351.1,351.26,714590,0.0,,,,,False
2022-01-03 14:30:00+00:00,351.21,351.33,350.77,350.9,718850,0.0,,,,,False
2022-01-03 15:00:00+00:00,350.82,351.49,350.01,350.72,1019290,0.0,,,,,False
2022-01-03 15:30:00+00:00,350.82,351.83,350.5,351.44,806430,0.0,,,,,False
2022-01-03 16:00:00+00:00,351.42,351.65,350.8,351.13,717230,0.0,,,,,False
2022-01-03 16:30:00+00:00,351.13,351.22,350.51,350.84,548320,0.0,,,,,False
2022-01-03 17:00:00+00:00,350.9,351.6,350.74,351.05,824960,0.0,,,,,False
2022-01-03 17:30:00+00:00,351.07,351.86,349.51,350.28,2090920,0.0,,,,,False
2022-01-03 18:00:00+00:00,350.29,351.49,350.29,351.25,1342680,0.0,,,,,False
2022-01-03 18:30:00+00:00,351.25,351.5,350.9,350.9,1203270,0.0,,,,,False
2022-01-03 19:00:00+00:00,350.9,351.22,350.28,350.28,433090,0.0,,,,,False
2022-01-03 19:30:00+00:00,350.4,350.99,350.1,350.79,278490,0.0,,,,,False
2022-01-03 20:00:00+00:00,350.79,351.0,350.5,350.66,194590,0.0,,,,,False
2022-01-03 20:30:00+00:00,350.66,351.19,350.61,351.11,607500,0.0,,,,,False
2022-01-03 21:00:00+00:00,351.13,351.67,351.02,351.67,334540,0.0,,,,,False
2022-01-03 21:30:00+00:00,351.67,351.83,351.42,351.83,238580,0.0,,,,,False
2022-01-03 22:00:00+00:00,351.84,352.92,351.7,352.33,968690,0.0,,,,,True
2022-01-03 22:30:00+00:00,352.33,352.96,352.32,352.87,525850,0.0,,,,,True
2022-01-03 23:00:00+00:00,352.76,352.97,352.41,352.9,416430,0.0,,,,,True
2022-01-03 23:30:00+00:00,352.85,353.88,352.74,353.73,1227860,0.0,,,,,True
2022-01-04 00:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-04 00:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-04 01:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-04 01:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-04 02:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-04 02:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-04 03:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-04 03:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-04 04:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-04 04:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-04 05:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-04 05:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-04 06:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-04 06:30:00+00:00,353.98,353.98,353.98,353.98,14140,0.0,,,,,True
2022-01-04 07:00:00+00:00,353.99,355.81,353.65,355.4,2055260,0.0,,,,,True
2022-01-04 07:30:00+00:00,355.4,357.9,355.3,356.58,1828940,0.0,,,,,True
2022-01-04 08:00:00+00:00,356.58,357.6,356.5,357.08,855490,0.0,,,,,True
2022-01-04 08:30:00+00:00,357.13,358.1,357.07,357.25,963630,0.0,,,,,True
2022-01-04 09:00:00+00:00,357.25,357.5,355.18,356.25,1605620,0.0,,,,,True
2022-01-04 09:30:00+00:00,356.24,357.0,355.8,356.32,902440,0.0,,,,,True
2022-01-04 10:00:00+00:00,356.15,356.15,352.51,352.84,4102300,0.0,,,,,False
2022-01-04 10:30:00+00:00,352.88,352.99,350.69,352.47,4004210,0.0,,,,,False
2022-01-04 11:00:00+00:00,352.47,353.06,348.35,349.27,5711150,0.0,,,,,True
2022-01-04 11:30:00+00:00,349.22,351.37,348.57,351.05,2916700,0.0,,,,,False
2022-01-04 12:00:00+00:00,351.05,354.2,350.75,353.55,3878880,0.0,,,,,False
2022-01-04 12:30:00+00:00,353.55,353.88,352.74,353.67,1120990,0.0,,,,,False
2022-01-04 13:00:00+00:00,353.74,355.17,353.74,354.44,2744220,0.0,,,,,False
2022-01-04 13:30:00+00:00,354.35,354.93,353.2,354.22,2585990,0.0,,,,,False
2022-01-04 14:00:00+00:00,354.33,355.07,353.68,354.43,1250940,0.0,,,,,False
2022-01-04 14:30:00+00:00,354.42,354.71,353.65,353.85,1268350,0.0,,,,,False
2022-01-04 15:00:00+00:00,353.99,354.09,351.26,351.55,2626940,0.0,,,,,False
2022-01-04 15:30:00+00:00,351.55,352.97,351.1,352.34,1326830,0.0,,,,,False
2022-01-04 16:00:00+00:00,352.34,353.65,352.04,353.56,758690,0.0,,,,,False
2022-01-04 16:30:00+00:00,353.56,353.67,352.52,353.15,665140,0.0,,,,,False
2022-01-04 17:00:00+00:00,353.15,354.0,351.9,353.57,1457080,0.0,,,,,False
2022-01-04 17:30:00+00:00,353.51,353.56,352.06,352.64,1633570,0.0,350.374,356.014,353.194,ROLLING,False
2022-01-04 18:00:00+00:00,352.69,352.93,351.62,352.32,1568210,0.0,350.374,356.014,353.194,ROLLING,False
2022-01-04 18:30:00+00:00,352.34,352.7,351.85,352.7,1240470,0.0,350.374,356.014,353.194,ROLLING,False
2022-01-04 19:00:00+00:00,352.2,352.91,351.49,352.62,766610,0.0,350.544,356.014,353.279,ROLLING,False
2022-01-04 19:30:00+00:00,352.47,352.69,351.9,352.52,267310,0.0,350.642,356.014,353.328,ROLLING,False
2022-01-04 20:00:00+00:00,352.5,353.72,352.4,353.6,746020,0.0,350.642,356.014,353.328,ROLLING,False
2022-01-04 20:30:00+00:00,353.6,353.74,352.96,353.17,370150,0.0,350.714,356.014,353.36400000000003,ROLLING,False
2022-01-04 21:00:00+00:00,353.03,353.2,352.01,353.07,251770,0.0,350.858,356.014,353.43600000000004,ROLLING,False
2022-01-04 21:30:00+00:00,353.07,353.6,352.53,352.58,368740,0.0,351.052,356.014,353.533,ROLLING,False
2022-01-04 22:00:00+00:00,352.52,352.9,351.95,352.11,267960,1.0,351.164,356.014,353.589,ROLLING,False
2022-01-04 22:30:00+00:00,352.09,352.86,351.95,352.77,161990,1.0,351.324,356.014,353.669,ROLLING,False
2022-01-04 23:00:00+00:00,352.76,353.15,352.5,352.6,183350,0.0,351.352,356.014,353.683,ROLLING,False
2022-01-04 23:30:00+00:00,352.6,352.68,352.21,352.55,237570,1.0,351.352,356.014,353.683,ROLLING,False
2022-01-05 00:00:00+00:00,,,,,0,0.0,351.352,356.014,353.683,ROLLING,False
2022-01-05 00:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-05 01:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-05 01:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-05 02:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-05 02:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-05 03:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-05 03:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-05 04:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-05 04:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-05 05:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-05 05:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-05 06:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-05 06:30:00+00:00,351.9,351.9,351.9,351.9,7010,0.0,,,,,False
2022-01-05 07:00:00+00:00,351.9,352.26,349.75,349.88,1351980,0.0,351.3175,356.065,353.69124999999997,ROLLING,True
2022-01-05 07:30:00+00:00,349.9,351.2,349.83,350.3,642250,0.0,351.164,356.014,353.589,ROLLING,True
2022-01-05 08:00:00+00:00,350.2,350.79,349.12,349.13,570850,0.0,350.89,356.014,353.452,ROLLING,True
2022-01-05 08:30:00+00:00,349.13,350.6,349.06,350.57,445110,0.0,350.714,355.758,353.236,ROLLING,True
2022-01-05 09:00:00+00:00,350.57,350.96,350.32,350.8,364440,0.0,350.174,355.13,352.652,ROLLING,False
2022-01-05 09:30:00+00:00,350.79,351.5,350.6,350.88,373350,0.0,350.026,355.014,352.52,ROLLING,False
2022-01-05 10:00:00+00:00,350.88,351.94,350.0,351.5,1139990,0.0,350.026,354.842,352.43399999999997,ROLLING,False
2022-01-05 10:30:00+00:00,351.4,353.5,351.15,352.58,1315830,0.0,349.89799999999997,354.506,352.202,ROLLING,False
2022-01-05 11:00:00+00:00,352.58,353.0,350.01,350.64,1958280,0.0,349.89799999999997,354.156,352.027,ROLLING,False
2022-01-05 11:30:00+00:00,350.7,351.96,350.46,351.91,915210,0.0,349.89799999999997,354.054,351.976,ROLLING,False
2022-01-05 12:00:00+00:00,351.93,352.19,351.23,351.41,648690,0.0,349.89799999999997,354.054,351.976,ROLLING,False
2022-01-05 12:30:00+00:00,351.41,351.41,350.54,350.99,760060,0.0,350.004,354.054,352.029,ROLLING,False
2022-01-05 13:00:00+00:00,350.98,351.45,350.72,350.82,547280,0.0,350.134,354.054,352.094,ROLLING,False
2022-01-05 13:30:00+00:00,350.82,350.94,350.0,350.09,1451270,0.0,350.134,353.952,352.043,ROLLING,True
2022-01-05 14:00:00+00:00,350.07,350.15,346.5,346.79,6641950,0.0,350.004,353.896,351.95000000000005,ROLLING,True
2022-01-05 14:30:00+00:00,346.65,348.42,346.54,346.65,3545380,0.0,350.0,353.732,351.866,ROLLING,True
2022-01-05 15:00:00+00:00,346.6,347.7,346.36,347.41,1858850,0.0,349.89799999999997,353.70000000000005,351.799,ROLLING,True
2022-01-05 15:30:00+00:00,347.5,347.66,346.71,347.33,897340,0.0,349.782,353.662,351.722,ROLLING,True
2022-01-05 16:00:00+00:00,347.33,348.75,347.1,348.5,1502310,0.0,349.372,353.63,351.501,ROLLING,True
2022-01-05 16:30:00+00:00,348.5,348.68,347.75,348.02,642040,0.0,349.084,353.584,351.334,ROLLING,True
2022-01-05 17:00:00+00:00,348.06,348.15,345.11,345.41,4126820,0.0,348.274,353.584,350.929,ROLLING,True
2022-01-05 17:30:00+00:00,345.4,345.95,344.4,344.85,5450630,0.0,347.36,353.536,350.448,ROLLING,True
2022-01-05 18:00:00+00:00,344.8,345.87,344.35,344.42,3884230,0.0,346.866,353.38,350.123,ROLLING,True
2022-01-05 18:30:00+00:00,344.35,345.2,343.41,345.2,3147720,0.0,346.608,353.18,349.894,ROLLING,True
2022-01-05 19:00:00+00:00,344.25,344.9,342.84,343.1,2444490,0.0,346.516,353.09,349.803,ROLLING,True
2022-01-05 19:30:00+00:00,343.1,343.4,342.5,343.19,2154070,0.0,346.416,353.09,349.753,ROLLING,True
2022-01-05 20:00:00+00:00,343.2,343.3,342.5,342.82,1549760,0.0,,,,,True
2022-01-05 20:30:00+00:00,342.85,343.08,340.0,341.54,3187870,0.0,,,,,True
2022-01-05 21:00:00+00:00,341.53,342.59,340.52,341.86,1537960,0.0,,,,,True
2022-01-05 21:30:00+00:00,341.73,342.27,339.85,339.85,2742950,0.0,,,,,True
2022-01-05 22:00:00+00:00,339.85,340.65,336.27,338.19,5863180,0.0,,,,,True
2022-01-05 22:30:00+00:00,338.19,338.38,331.55,334.56,7839090,0.0,,,,,True
2022-01-05 23:00:00+00:00,334.56,339.8,334.4,335.07,6876250,0.0,,,,,True
2022-01-05 23:30:00+00:00,335.0,336.85,334.55,335.0,2591960,0.0,,,,,True
2022-01-06 00:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-06 00:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-06 01:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-06 01:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-06 02:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-06 02:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-06 03:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-06 03:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-06 04:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-06 04:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-06 05:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-06 05:30:00+00:00,,,,,0,0.0,,,,,False
2022-01-06 06:00:00+00:00,,,,,0,0.0,,,,,False
2022-01-06 06:30:00+00:00,335.9,335.9,335.9,335.9,27480,0.0,,,,,True
2022-01-06 07:00:00+00:00,335.8,338.5,330.11,338.36,4751690,0.0,,,,,True
2022-01-06 07:30:00+00:00,338.37,340.48,335.95,340.04,3609960,0.0,,,,,False
2022-01-06 08:00:00+00:00,340.18,342.0,338.78,339.9,2577600,0.0,,,,,False
