symbol,trades,pf,win_rate,calmar,total_return,max_drawdown
ALL,11294,0.8684899817161894,0.5104,-1.0,-1.0,-1.0
CHMF,782,0.8488358589236059,0.5076923076923077,-0.9002552165890556,-0.33956230016647126,-0.3771844849208723
GAZP,632,0.9697625804122817,0.5474683544303798,-0.3510993456545638,-0.04592727830058996,-0.13080992280109927
GMKN,722,0.9833528842107342,0.5207756232686981,-0.35772428611338575,-0.04605156256182774,-0.1287347947833518
LKOH,516,0.9341253336138587,0.5155038759689923,-0.5528942394688781,-0.08058754266664059,-0.14575580086356965
MGNT,764,0.728266330248482,0.4973821989528796,-0.9546163539367839,-0.5377277677757473,-0.5632920131298698
MTSS,668,0.7646430444856813,0.4864864864864865,-0.9135485112001352,-0.4374546261798863,-0.47885210343695817
NLMK,780,0.9228373342382997,0.5051813471502591,-0.6940871736225485,-0.18351454209745344,-0.26439696492252207
NVTK,662,0.8237423080984734,0.49240121580547114,-0.9156191763757974,-0.3323910772122235,-0.36302328062622435
OZON,598,0.976806031048901,0.5351170568561873,-0.3437091998706809,-0.03381830825872123,-0.09839221141431542
PIKK,672,0.7361958528319272,0.4583333333333333,-0.9583089782647505,-0.5319236823405531,-0.5550649053750172
PLZL,772,0.9057352443945506,0.5428571428571428,-0.7039862107971008,-0.18898592213574794,-0.2684511702605159
ROSN,652,0.8700414657592939,0.5138461538461538,-0.80672793025118,-0.2574283307138491,-0.31910179511659786
SBER,456,0.8049659146462472,0.5350877192982456,-0.8396719119541082,-0.2354482968703132,-0.2804051124234599
SNGS,846,0.8790087296377851,0.5178997613365155,-0.7147498539795019,-0.2920735876674959,-0.40863749190198817
TATN,738,1.013789681285494,0.5367847411444142,0.2782946261019095,0.02552061078911061,-0.09170357022907494
VKCO,652,0.6391935481093753,0.434375,-0.9398042322934836,-0.6566393796527055,-0.6986980448579732
YNDX,382,1.006917182336176,0.5497382198952879,0.14979026386131392,0.0138307561382911,-0.09233414630403858
