begin,open,high,low,close,volume
2022-01-17 10:00:00+03:00,335.9,338.95,335.81,337.44,1461080
2022-01-17 10:30:00+03:00,337.3,337.44,333.0,336.2,2620210
2022-01-17 11:00:00+03:00,336.06,336.37,334.2,335.89,983460
2022-01-17 11:30:00+03:00,335.89,336.87,334.9,335.03,518190
2022-01-17 12:00:00+03:00,335.18,337.64,335.01,337.64,745670
2022-01-17 12:30:00+03:00,337.49,338.38,336.5,337.3,1445180
2022-01-17 13:00:00+03:00,337.3,338.3,335.8,337.52,2640200
2022-01-17 13:30:00+03:00,337.39,338.4,336.51,337.9,2188860
2022-01-17 14:00:00+03:00,337.9,338.74,331.16,336.2,5604440
2022-01-17 14:30:00+03:00,336.14,336.82,332.51,333.43,5070680
2022-01-17 15:00:00+03:00,333.42,333.7,328.55,331.13,6317000
2022-01-17 15:30:00+03:00,331.27,332.5,329.87,331.76,3712030
2022-01-17 16:00:00+03:00,331.74,332.17,328.8,329.73,3371010
2022-01-17 16:30:00+03:00,329.73,330.28,325.43,327.01,6020350
2022-01-17 17:00:00+03:00,326.89,328.11,325.97,327.17,4177870
2022-01-17 17:30:00+03:00,327.22,327.85,325.11,326.26,2940140
2022-01-17 18:00:00+03:00,326.07,329.0,324.57,328.3,4079380
2022-01-17 18:30:00+03:00,328.35,328.7,326.31,327.07,1445370
2022-01-17 19:00:00+03:00,327.07,328.3,325.76,328.09,1661940
2022-01-17 19:30:00+03:00,328.09,328.16,326.32,326.41,1904060
2022-01-17 20:00:00+03:00,326.41,327.19,325.32,325.51,2091190
2022-01-17 20:30:00+03:00,325.58,326.3,325.01,325.48,2011430
2022-01-17 21:00:00+03:00,325.48,325.48,319.17,321.1,12391400
2022-01-17 21:30:00+03:00,321.11,328.0,320.04,327.94,9963430
2022-01-17 22:00:00+03:00,327.3,330.0,327.3,328.09,4300340
2022-01-17 22:30:00+03:00,328.26,328.9,327.01,327.59,1963860
2022-01-17 23:00:00+03:00,327.78,329.44,327.11,328.0,1097300
2022-01-17 23:30:00+03:00,328.0,328.47,327.52,328.05,373250
2022-01-18 00:00:00+03:00,328.1,328.9,328.0,328.22,561680
2022-01-18 00:30:00+03:00,328.15,329.16,327.92,328.85,461800
2022-01-18 01:00:00+03:00,328.82,329.29,325.33,326.25,1536880
2022-01-18 01:30:00+03:00,326.22,327.0,325.75,326.75,384790
2022-01-18 02:00:00+03:00,326.75,327.45,326.62,326.98,409910
2022-01-18 02:30:00+03:00,326.98,327.8,326.87,327.49,278150
2022-01-18 03:00:00+03:00,327.49,328.0,327.35,327.81,213760
2022-01-18 10:00:00+03:00,329.11,329.3,326.01,326.75,628780
2022-01-18 10:30:00+03:00,326.75,328.0,326.11,326.55,558000
2022-01-18 11:00:00+03:00,326.69,326.69,320.6,322.32,2458220
2022-01-18 11:30:00+03:00,322.46,323.16,320.28,322.12,1937690
2022-01-18 12:00:00+03:00,322.07,324.47,321.05,323.4,1616140
2022-01-18 12:30:00+03:00,323.2,323.2,321.02,321.56,1095660
2022-01-18 13:00:00+03:00,321.56,323.23,320.0,320.37,3310300
2022-01-18 13:30:00+03:00,320.22,322.45,315.64,321.39,10966160
2022-01-18 14:00:00+03:00,321.39,322.0,317.9,321.1,3773560
2022-01-18 14:30:00+03:00,321.17,321.92,319.25,321.64,4240150
2022-01-18 15:00:00+03:00,321.64,323.1,320.15,322.42,2547780
2022-01-18 15:30:00+03:00,322.4,322.78,319.61,320.3,2377230
2022-01-18 16:00:00+03:00,320.23,322.0,319.74,321.31,2051950
2022-01-18 16:30:00+03:00,321.41,322.33,320.72,321.78,1212720
2022-01-18 17:00:00+03:00,321.85,322.08,319.9,320.3,1221900
2022-01-18 17:30:00+03:00,320.2,320.49,316.15,317.53,5984870
2022-01-18 18:00:00+03:00,317.4,317.58,307.75,309.98,23883750
2022-01-18 18:30:00+03:00,309.99,312.37,305.02,311.83,18902110
2022-01-18 19:00:00+03:00,311.96,313.0,307.68,310.89,11292830
2022-01-18 19:30:00+03:00,310.87,311.44,304.32,304.46,11185480
2022-01-18 20:00:00+03:00,304.61,307.94,302.62,303.32,14157050
2022-01-18 20:30:00+03:00,303.32,305.29,299.5,304.16,21729730
2022-01-18 21:00:00+03:00,304.24,307.12,302.5,306.98,14867500
2022-01-18 21:30:00+03:00,307.1,307.8,296.7,299.2,24577730
2022-01-18 22:00:00+03:00,299.47,302.16,299.47,300.85,6073470
2022-01-18 22:30:00+03:00,300.87,304.2,299.1,303.87,10358030
2022-01-18 23:00:00+03:00,303.86,305.5,302.0,302.47,2996380
