begin,open,high,low,close,volume
2022-01-17 10:00:00+03:00,227.0,227.46,225.16,225.98,5634
2022-01-17 10:30:00+03:00,225.96,226.08,223.36,225.02,8782
2022-01-17 11:00:00+03:00,225.0,225.8,224.5,225.3,2897
2022-01-17 11:30:00+03:00,225.3,226.2,225.06,225.24,3849
2022-01-17 12:00:00+03:00,225.2,226.18,225.18,226.12,1297
2022-01-17 12:30:00+03:00,226.12,227.46,225.74,226.78,5677
2022-01-17 13:00:00+03:00,226.78,227.5,225.72,227.08,7561
2022-01-17 13:30:00+03:00,227.08,227.56,226.44,227.1,7569
2022-01-17 14:00:00+03:00,227.0,227.36,223.8,225.92,15978
2022-01-17 14:30:00+03:00,225.88,226.1,224.26,224.52,9718
2022-01-17 15:00:00+03:00,224.52,224.9,222.8,223.76,14855
2022-01-17 15:30:00+03:00,223.56,225.18,222.84,224.94,10580
2022-01-17 16:00:00+03:00,225.08,225.26,222.64,222.94,10621
2022-01-17 16:30:00+03:00,222.92,223.74,222.18,222.82,12631
2022-01-17 17:00:00+03:00,222.82,223.4,222.08,222.86,11988
2022-01-17 17:30:00+03:00,222.72,223.0,221.4,221.86,11137
2022-01-17 18:00:00+03:00,221.86,222.34,220.72,222.04,15061
2022-01-17 18:30:00+03:00,221.9,222.04,220.6,221.06,9209
2022-01-17 19:00:00+03:00,220.98,220.98,219.5,220.4,19493
2022-01-17 19:30:00+03:00,220.4,220.4,217.16,217.5,34110
2022-01-17 20:00:00+03:00,217.52,219.68,217.02,218.3,22961
2022-01-17 20:30:00+03:00,218.2,219.1,217.96,218.16,12041
2022-01-17 21:00:00+03:00,218.1,218.12,215.52,217.0,44345
2022-01-17 21:30:00+03:00,217.06,219.3,215.9,219.26,43351
2022-01-17 22:00:00+03:00,218.18,218.18,216.68,217.68,39649
2022-01-17 22:30:00+03:00,217.68,218.96,217.0,218.14,12097
2022-01-17 23:00:00+03:00,218.18,219.42,218.0,218.6,7266
2022-01-17 23:30:00+03:00,218.64,219.1,218.3,218.86,2727
2022-01-18 00:00:00+03:00,218.98,218.98,218.08,218.8,1825
2022-01-18 00:30:00+03:00,218.82,218.88,218.46,218.72,2709
2022-01-18 01:00:00+03:00,218.72,218.86,217.84,217.96,3286
2022-01-18 01:30:00+03:00,217.84,218.54,217.58,218.3,2231
2022-01-18 02:00:00+03:00,218.38,218.38,217.94,218.0,1391
2022-01-18 02:30:00+03:00,218.0,218.48,217.72,218.28,1736
2022-01-18 03:00:00+03:00,218.3,218.58,218.14,218.2,1018
2022-01-18 10:00:00+03:00,218.38,219.3,218.28,218.46,3980
2022-01-18 10:30:00+03:00,218.56,218.9,217.18,217.3,4530
2022-01-18 11:00:00+03:00,217.3,217.32,213.2,214.28,20858
2022-01-18 11:30:00+03:00,214.16,214.46,209.34,213.32,22781
