begin,open,high,low,close,volume
2022-01-03 06:00:00+00:00,1720.0,1720.0,1720.0,1720.0,53
2022-01-03 07:00:00+00:00,1722.0,1734.0,1720.0,1729.4,21932
2022-01-03 08:00:00+00:00,1729.8,1741.0,1729.2,1737.8,15112
2022-01-03 09:00:00+00:00,1737.8,1744.0,1736.0,1738.4,28562
2022-01-03 10:00:00+00:00,1738.4,1754.8,1737.0,1749.4,104284
2022-01-03 11:00:00+00:00,1751.0,1756.0,1745.8,1752.6,87412
2022-01-03 12:00:00+00:00,1752.6,1764.8,1752.6,1764.8,56793
2022-01-03 13:00:00+00:00,1764.8,1772.8,1759.4,1760.2,140287
2022-01-03 14:00:00+00:00,1760.2,1762.8,1756.0,1759.2,40335
2022-01-03 15:00:00+00:00,1759.0,1765.0,1755.6,1762.4,124997
2022-01-03 16:00:00+00:00,1762.2,1765.0,1760.4,1764.2,73390
2022-01-03 17:00:00+00:00,1764.8,1771.6,1762.8,1767.2,95854
2022-01-03 18:00:00+00:00,1765.8,1767.8,1758.2,1760.8,50512
2022-01-03 19:00:00+00:00,1759.0,1768.0,1758.0,1766.6,9308
2022-01-03 20:00:00+00:00,1766.6,1769.0,1759.8,1763.2,15884
2022-01-03 21:00:00+00:00,1764.8,1768.0,1762.8,1767.0,8854
2022-01-03 22:00:00+00:00,1765.6,1770.4,1765.2,1766.2,11889
2022-01-03 23:00:00+00:00,1768.2,1775.0,1763.0,1774.4,17051
2022-01-04 00:00:00+00:00,,,,,0
2022-01-04 01:00:00+00:00,,,,,0
2022-01-04 02:00:00+00:00,,,,,0
2022-01-04 03:00:00+00:00,,,,,0
2022-01-04 04:00:00+00:00,,,,,0
2022-01-04 05:00:00+00:00,,,,,0
2022-01-04 06:00:00+00:00,1770.0,1770.0,1770.0,1770.0,100
2022-01-04 07:00:00+00:00,1774.0,1778.4,1763.2,1774.0,22294
2022-01-04 08:00:00+00:00,1774.6,1774.8,1765.2,1771.4,24371
2022-01-04 09:00:00+00:00,1771.8,1775.8,1770.0,1771.2,13331
2022-01-04 10:00:00+00:00,1771.0,1771.0,1756.8,1761.2,47856
2022-01-04 11:00:00+00:00,1762.6,1769.8,1756.6,1767.8,74551
2022-01-04 12:00:00+00:00,1766.8,1775.0,1765.4,1770.4,58584
2022-01-04 13:00:00+00:00,1770.2,1781.0,1768.4,1778.6,226089
2022-01-04 14:00:00+00:00,1779.4,1785.0,1775.2,1777.6,64405
2022-01-04 15:00:00+00:00,1778.4,1778.4,1770.4,1777.0,40020
2022-01-04 16:00:00+00:00,1777.0,1782.4,1776.2,1780.0,48711
2022-01-04 17:00:00+00:00,1779.6,1787.8,1770.6,1786.8,103980
2022-01-04 18:00:00+00:00,1786.0,1792.0,1779.0,1792.0,146923
2022-01-04 19:00:00+00:00,1789.6,1795.8,1786.6,1789.2,56119
2022-01-04 20:00:00+00:00,1789.2,1792.6,1787.2,1789.4,11876
2022-01-04 21:00:00+00:00,1788.0,1789.6,1787.0,1787.6,11426
2022-01-04 22:00:00+00:00,1787.6,1788.8,1787.0,1788.6,6622
2022-01-04 23:00:00+00:00,1788.6,1791.0,1787.0,1788.6,7215
2022-01-05 00:00:00+00:00,,,,,0
2022-01-05 01:00:00+00:00,,,,,0
2022-01-05 02:00:00+00:00,,,,,0
2022-01-05 03:00:00+00:00,,,,,0
2022-01-05 04:00:00+00:00,,,,,0
2022-01-05 05:00:00+00:00,,,,,0
