begin,open,high,low,close,volume
2022-01-03 06:00:00+00:00,39.9,39.9,39.9,39.9,2100
2022-01-03 07:00:00+00:00,39.9,40.125,39.76,39.995,498000
2022-01-03 08:00:00+00:00,39.995,40.105,39.9,40.07,321200
2022-01-03 09:00:00+00:00,40.07,40.13,39.905,39.935,635800
2022-01-03 10:00:00+00:00,39.92,39.99,39.575,39.62,6380800
2022-01-03 11:00:00+00:00,39.635,39.84,39.61,39.785,2828700
2022-01-03 12:00:00+00:00,39.79,39.805,39.665,39.715,940000
2022-01-03 13:00:00+00:00,39.72,39.755,39.625,39.675,935200
2022-01-03 14:00:00+00:00,39.675,39.695,39.555,39.605,1251300
2022-01-03 15:00:00+00:00,39.585,39.61,39.435,39.6,1515400
2022-01-03 16:00:00+00:00,39.585,39.59,39.44,39.515,787500
2022-01-03 17:00:00+00:00,39.515,39.63,39.45,39.49,1227200
2022-01-03 18:00:00+00:00,39.49,39.69,39.485,39.59,1782000
2022-01-03 19:00:00+00:00,39.67,39.67,39.53,39.595,289700
2022-01-03 20:00:00+00:00,39.595,39.61,39.545,39.555,158400
2022-01-03 21:00:00+00:00,39.58,39.605,39.545,39.605,175000
2022-01-03 22:00:00+00:00,39.575,39.61,39.545,39.585,261100
2022-01-03 23:00:00+00:00,39.58,39.66,39.55,39.6,548400
2022-01-04 00:00:00+00:00,,,,,0
2022-01-04 01:00:00+00:00,,,,,0
2022-01-04 02:00:00+00:00,,,,,0
2022-01-04 03:00:00+00:00,,,,,0
2022-01-04 04:00:00+00:00,,,,,0
2022-01-04 05:00:00+00:00,,,,,0
2022-01-04 06:00:00+00:00,39.6,39.6,39.6,39.6,100
2022-01-04 07:00:00+00:00,39.6,39.65,39.46,39.46,536400
2022-01-04 08:00:00+00:00,39.47,39.51,39.42,39.42,575500
2022-01-04 09:00:00+00:00,39.45,39.525,39.425,39.485,244100
2022-01-04 10:00:00+00:00,39.49,39.57,39.365,39.56,1798600
2022-01-04 11:00:00+00:00,39.575,39.77,39.51,39.755,3013900
2022-01-04 12:00:00+00:00,39.755,39.86,39.69,39.8,1933900
2022-01-04 13:00:00+00:00,39.815,40.21,39.77,40.185,4748900
2022-01-04 14:00:00+00:00,40.185,40.32,39.855,39.895,3301600
2022-01-04 15:00:00+00:00,39.895,40.02,39.735,39.955,1412600
2022-01-04 16:00:00+00:00,39.955,40.355,39.95,40.29,4307300
2022-01-04 17:00:00+00:00,40.3,40.5,40.2,40.43,7229000
2022-01-04 18:00:00+00:00,40.43,40.435,40.15,40.28,2196400
2022-01-04 19:00:00+00:00,40.185,40.245,39.9,40.135,1132700
2022-01-04 20:00:00+00:00,40.14,40.215,40.09,40.155,322000
2022-01-04 21:00:00+00:00,40.175,40.185,40.07,40.1,278600
2022-01-04 22:00:00+00:00,40.075,40.25,40.055,40.2,215400
2022-01-04 23:00:00+00:00,40.24,40.26,40.075,40.175,311200
2022-01-05 00:00:00+00:00,,,,,0
