begin,open,high,low,close,volume
2022-01-03 06:30:00+00:00,39.9,39.9,39.9,39.9,2100
2022-01-03 07:00:00+00:00,39.9,40.125,39.76,39.99,388000
2022-01-03 07:30:00+00:00,40.0,40.02,39.93,39.995,110000
2022-01-03 08:00:00+00:00,39.995,40.02,39.9,39.92,143800
2022-01-03 08:30:00+00:00,39.945,40.105,39.92,40.07,177400
2022-01-03 09:00:00+00:00,40.07,40.13,40.01,40.065,153900
2022-01-03 09:30:00+00:00,40.045,40.05,39.905,39.935,481900
2022-01-03 10:00:00+00:00,39.92,39.97,39.715,39.785,3184500
2022-01-03 10:30:00+00:00,39.835,39.99,39.575,39.62,3196300
2022-01-03 11:00:00+00:00,39.635,39.83,39.61,39.745,1643100
2022-01-03 11:30:00+00:00,39.745,39.84,39.745,39.785,1185600
2022-01-03 12:00:00+00:00,39.79,39.805,39.665,39.74,618500
2022-01-03 12:30:00+00:00,39.74,39.79,39.7,39.715,321500
2022-01-03 13:00:00+00:00,39.72,39.755,39.625,39.755,497500
2022-01-03 13:30:00+00:00,39.745,39.745,39.65,39.675,437700
2022-01-03 14:00:00+00:00,39.675,39.695,39.585,39.625,724300
2022-01-03 14:30:00+00:00,39.62,39.62,39.555,39.605,527000
2022-01-03 15:00:00+00:00,39.585,39.6,39.46,39.46,900900
2022-01-03 15:30:00+00:00,39.46,39.61,39.435,39.6,614500
2022-01-03 16:00:00+00:00,39.585,39.59,39.465,39.48,416000
2022-01-03 16:30:00+00:00,39.48,39.525,39.44,39.515,371500
2022-01-03 17:00:00+00:00,39.515,39.63,39.5,39.535,503600
2022-01-03 17:30:00+00:00,39.535,39.63,39.45,39.49,723600
2022-01-03 18:00:00+00:00,39.49,39.69,39.485,39.61,1222100
2022-01-03 18:30:00+00:00,39.6,39.645,39.54,39.59,559900
2022-01-03 19:00:00+00:00,39.67,39.67,39.53,39.585,182600
2022-01-03 19:30:00+00:00,39.585,39.6,39.545,39.595,107100
2022-01-03 20:00:00+00:00,39.595,39.61,39.57,39.575,46400
2022-01-03 20:30:00+00:00,39.575,39.585,39.545,39.555,112000
2022-01-03 21:00:00+00:00,39.58,39.6,39.545,39.6,95300
2022-01-03 21:30:00+00:00,39.59,39.605,39.57,39.605,79700
2022-01-03 22:00:00+00:00,39.575,39.61,39.545,39.575,185200
2022-01-03 22:30:00+00:00,39.575,39.6,39.555,39.585,75900
2022-01-03 23:00:00+00:00,39.58,39.61,39.565,39.59,330000
2022-01-03 23:30:00+00:00,39.61,39.66,39.55,39.6,218400
2022-01-04 00:00:00+00:00,,,,,0
2022-01-04 00:30:00+00:00,,,,,0
2022-01-04 01:00:00+00:00,,,,,0
2022-01-04 01:30:00+00:00,,,,,0
2022-01-04 02:00:00+00:00,,,,,0
2022-01-04 02:30:00+00:00,,,,,0
2022-01-04 03:00:00+00:00,,,,,0
2022-01-04 03:30:00+00:00,,,,,0
2022-01-04 04:00:00+00:00,,,,,0
2022-01-04 04:30:00+00:00,,,,,0
2022-01-04 05:00:00+00:00,,,,,0
2022-01-04 05:30:00+00:00,,,,,0
2022-01-04 06:00:00+00:00,,,,,0
2022-01-04 06:30:00+00:00,39.6,39.6,39.6,39.6,100
2022-01-04 07:00:00+00:00,39.6,39.65,39.475,39.49,344800
2022-01-04 07:30:00+00:00,39.52,39.55,39.46,39.46,191600
2022-01-04 08:00:00+00:00,39.47,39.51,39.455,39.5,149500
2022-01-04 08:30:00+00:00,39.51,39.51,39.42,39.42,426000
2022-01-04 09:00:00+00:00,39.45,39.51,39.425,39.455,122900
2022-01-04 09:30:00+00:00,39.46,39.525,39.455,39.485,121200
2022-01-04 10:00:00+00:00,39.49,39.5,39.405,39.465,609600
2022-01-04 10:30:00+00:00,39.46,39.57,39.365,39.56,1189000
2022-01-04 11:00:00+00:00,39.575,39.705,39.51,39.7,1575300
2022-01-04 11:30:00+00:00,39.7,39.77,39.64,39.755,1438600
2022-01-04 12:00:00+00:00,39.755,39.86,39.69,39.825,1508800
2022-01-04 12:30:00+00:00,39.825,39.83,39.75,39.8,425100
2022-01-04 13:00:00+00:00,39.815,39.95,39.77,39.85,1793100
