begin,open,high,low,close,volume
2022-01-03 06:00:00+00:00,505.0,505.0,505.0,505.0,8701
2022-01-03 07:00:00+00:00,504.9,506.7,503.4,505.0,75805
2022-01-03 08:00:00+00:00,505.0,508.0,505.0,507.9,42198
2022-01-03 09:00:00+00:00,507.9,508.6,507.0,507.4,52894
2022-01-03 10:00:00+00:00,507.5,512.3,507.0,510.1,281443
2022-01-03 11:00:00+00:00,510.1,512.4,509.7,510.5,294590
2022-01-03 12:00:00+00:00,510.5,511.9,510.1,511.4,151998
2022-01-03 13:00:00+00:00,511.4,512.1,509.8,511.5,234488
2022-01-03 14:00:00+00:00,511.5,513.0,511.0,511.4,270736
2022-01-03 15:00:00+00:00,511.4,511.4,509.0,510.7,111151
2022-01-03 16:00:00+00:00,510.4,511.2,509.1,509.7,70407
2022-01-03 17:00:00+00:00,510.0,513.5,509.7,513.2,198404
2022-01-03 18:00:00+00:00,513.1,513.8,512.1,513.8,162181
2022-01-03 19:00:00+00:00,513.7,513.7,512.2,513.4,36846
2022-01-03 20:00:00+00:00,513.3,513.9,513.0,513.5,27528
2022-01-03 21:00:00+00:00,513.1,513.6,512.5,513.4,13908
2022-01-03 22:00:00+00:00,513.2,513.7,512.7,513.5,14091
2022-01-03 23:00:00+00:00,513.5,515.4,513.5,515.4,71911
2022-01-04 00:00:00+00:00,,,,,0
2022-01-04 01:00:00+00:00,,,,,0
2022-01-04 02:00:00+00:00,,,,,0
2022-01-04 03:00:00+00:00,,,,,0
2022-01-04 04:00:00+00:00,,,,,0
2022-01-04 05:00:00+00:00,,,,,0
2022-01-04 06:00:00+00:00,517.8,517.8,517.8,517.8,292
2022-01-04 07:00:00+00:00,516.4,517.7,514.3,514.3,39528
2022-01-04 08:00:00+00:00,514.3,514.9,512.6,513.7,54839
2022-01-04 09:00:00+00:00,513.7,515.0,513.4,514.9,32928
2022-01-04 10:00:00+00:00,514.7,514.7,511.5,513.6,84514
2022-01-04 11:00:00+00:00,513.6,516.4,513.4,514.6,286570
2022-01-04 12:00:00+00:00,514.6,516.8,514.0,515.9,77894
2022-01-04 13:00:00+00:00,515.9,518.0,515.9,517.7,147438
2022-01-04 14:00:00+00:00,517.7,518.0,515.6,515.8,86592
2022-01-04 15:00:00+00:00,515.8,515.8,512.3,513.8,122313
2022-01-04 16:00:00+00:00,513.5,516.2,513.3,516.1,67770
2022-01-04 17:00:00+00:00,516.0,518.2,514.5,517.6,192041
2022-01-04 18:00:00+00:00,517.7,518.1,515.6,517.5,195576
2022-01-04 19:00:00+00:00,517.3,517.3,514.5,515.5,56312
2022-01-04 20:00:00+00:00,515.7,516.9,515.3,515.6,30689
2022-01-04 21:00:00+00:00,515.5,515.8,514.9,515.0,13261
2022-01-04 22:00:00+00:00,514.9,515.7,514.8,515.6,18188
2022-01-04 23:00:00+00:00,515.6,516.0,515.0,515.4,31612
2022-01-05 00:00:00+00:00,,,,,0
2022-01-05 01:00:00+00:00,,,,,0
2022-01-05 02:00:00+00:00,,,,,0
2022-01-05 03:00:00+00:00,,,,,0
2022-01-05 04:00:00+00:00,,,,,0
2022-01-05 05:00:00+00:00,,,,,0
2022-01-05 06:00:00+00:00,514.5,514.5,514.5,514.5,1
2022-01-05 07:00:00+00:00,516.0,516.0,511.8,514.5,63925
2022-01-05 08:00:00+00:00,514.5,515.8,513.6,514.3,33320
2022-01-05 09:00:00+00:00,514.2,515.5,514.2,515.3,11657
2022-01-05 10:00:00+00:00,515.3,516.9,514.2,515.2,112509
2022-01-05 11:00:00+00:00,515.4,516.4,511.0,512.8,292061
